sku,websites,cost,price,msrp,special_price,special_from_date,special_to_date,tier_price,attribute_set_name,type_id
etrade9138,base,40.43,81.72,81.72,,,,,"Multipurpose business book",simple
etrade9139,base,22.40,45.29,45.29,,,,,Folders,simple
etrade9140,base,14.20,28.74,28.74,,,,,Binders,simple
etrade9141,base,14.20,28.74,28.74,,,,,Binders,simple
etrade9142,base,14.20,28.74,28.74,,,,,Binders,simple
etrade9143,base,25.36,49.44,49.44,,,,,"Charts or maps or atlases",simple
etrade9144,base,18.98,37.49,37.49,,,,,"Standard envelopes",simple
etrade9145,base,20.50,40.49,40.49,,,,,"Window envelopes",simple
etrade9146,base,17.92,35.39,35.39,,,,,"Standard envelopes",simple
etrade9147,base,19.32,38.19,38.19,,,,,"Window envelopes",simple
etrade9148,base,10000,10000,10000,,,,,"Appointment books or refills",simple
etrade9149,base,10000,10000,10000,,,,,"Appointment books or refills",simple
etrade9150,base,10000,10000,10000,,,,,"Appointment books or refills",simple
etrade9151,base,10000,10000,10000,,,,,"Appointment books or refills",simple
etrade9152,base,10000,10000,10000,,,,,"Appointment books or refills",simple
etrade9153,base,8.95,23.03,23.03,,,,,"Label making tapes",simple
etrade9154,base,9.00,23.72,23.72,,,,,"Label making tapes",simple
etrade9155,base,9.21,23.72,23.72,,,,,"Label making tapes",simple
etrade9156,base,30.46,81.01,81.01,,,,,"Binding combs or strips",simple
etrade9157,base,30.46,81.01,81.01,,,,,"Binding combs or strips",simple
etrade9158,base,30.46,81.01,81.01,,,,,"Binding combs or strips",simple
etrade9159,base,10000,10000,10000,,,,,"Desktop trays or organizers",simple
etrade9160,base,13.88,26.97,26.97,,,,,"Desktop trays or organizers",simple
etrade9161,base,16.64,32.37,32.37,,,,,"Desktop trays or organizers",simple
etrade9162,base,3.71,13.33,13.33,,,,,"Transparent tape",simple
etrade9163,base,6.06,15.21,15.21,,,,,"Reference books",simple
etrade9164,base,3.69,13.17,13.17,,,,,"Transparent tape",simple
etrade9165,base,7.71,19.25,19.25,,,,,"Reference books",simple
etrade9166,base,5.22,18.45,18.45,,,,,"Transparent tape",simple
etrade9167,base,5.07,17.77,17.77,,,,,"Transparent tape",simple
etrade9168,base,6.18,14.15,14.15,,,,,"Paper pads or notebooks",simple
etrade9169,base,10000,10000,10000,,,,,"Desktop trays or organizers",simple
etrade9170,base,10000,10000,10000,,,,,"Ring binder",simple
etrade9171,base,7.84,28.70,28.70,,,,,"Specialty envelopes",simple
etrade9172,base,6.53,30.94,30.94,,,,,"Specialty envelopes",simple
etrade9173,base,8.77,41.52,41.52,,,,,"Specialty envelopes",simple
etrade9174,base,9.77,46.23,46.23,,,,,"Specialty envelopes",simple
etrade9175,base,5.99,27.60,27.60,,,,,"Specialty envelopes",simple
etrade9176,base,6.42,30.43,30.43,,,,,"Specialty envelopes",simple
etrade9177,base,8.58,39.53,39.53,,,,,"Specialty envelopes",simple
etrade9178,base,14.71,53.63,53.63,,,,,"Specialty envelopes",simple
etrade9179,base,13.39,61.66,61.66,,,,,"Specialty envelopes",simple
etrade9180,base,7.41,37.24,37.24,,,,,"Specialty envelopes",simple
etrade9181,base,21.97,33.27,33.27,,,,,"Printer or copier paper",simple
etrade9182,base,19.47,29.48,29.48,,,,,"Printer or copier paper",simple
etrade9183,base,20.50,45.81,45.81,,,,,"File storage boxes or organizers",simple
