sku,category_ids
etrade152,"rt - office supplies|Postal Supplies|Envelopes|Protective Envelopes (Not Padded)|Other"
etrade153,"rt - office supplies|Postal Supplies|Envelopes|Protective Envelopes (Not Padded)|Other"
etrade154,"rt - office supplies|Postal Supplies|Envelopes|Protective Envelopes (Not Padded)|Other"
etrade155,"rt - office supplies|Postal Supplies|Envelopes|Protective Envelopes (Not Padded)|Other"
etrade156,"rt - office supplies|Postal Supplies|Envelopes|Protective Envelopes (Not Padded)|Other"
etrade157,"rt - office supplies|Postal Supplies|Envelopes|Protective Envelopes (Not Padded)|Other"
etrade158,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Wallets|Foolscap"
etrade159,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Wallets|Foolscap"
etrade160,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Wallets|Foolscap"
etrade161,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Wallets|Foolscap"
etrade162,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A4 Size"
etrade163,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A4 Size"
etrade164,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A4 Size"
etrade165,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Ring Binders|A4 Size"
etrade166,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Presentation Folders|A4"
etrade167,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Wallets|Foolscap"
etrade168,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Wallets|Foolscap"
etrade169,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Wallets|Foolscap"
etrade170,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Wallets|Foolscap"
etrade171,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Wallets|Foolscap"
etrade172,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Wallets|A5"
etrade173,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Plastic Wallets|A3"
etrade174,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Display Books|1-10 Pockets"
etrade175,"rt - office supplies|Office Supplies|Files  Pockets  Binders|Display Books|11-20 Pockets"
